_id,number,country,date,narrative,town,location,deaths,deaths_min,deaths_max,civilians,injuries,children,tweet_id,bureau_id,bij_summary_short,bij_link,target,lat,lon,names/0
55c79e721cbee48856a30aaa,549,Pakistan,2014-10-07T00:00:00.000Z,Third attack in three days killed 6 people.,Shawal,South Waziristan,6,4,7,,5-11,,519493956829069313,Ob344,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.585922,69.448686,
55c79e721cbee48856a30aab,550,Pakistan,2014-10-07T00:00:00.000Z,"Hours later, four people were killed when a missile struck the village of Kundser.",Datta Khel,North Waziristan,4,2,4,,5,,519522174940372992,Ob345,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.91666,69.763804,
55c79e721cbee48856a30aac,551,Pakistan,2014-10-08T00:00:00.000Z,Two people were killed in the 5th U.S. drone strike of the week.,Datta Khel,North Waziristan,2,2,4,,1-3,,519964650507476993,Ob346,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.908295,69.744568,
55c79e721cbee48856a30aad,552,Pakistan,2014-10-09T00:00:00.000Z,Two more missiles. Three people killed. Sixth CIA drone strike since Sunday.,Datta Khel,North Waziristan,3,3,4,,,,520223733198245888,Ob347,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.911025,69.762962,
55c79e721cbee48856a30aae,553,Pakistan,2014-10-11T00:00:00.000Z,Multiple missiles killed four people in Khyber.,Tirah Valley,Khyber Agency,4,4,6,,2,,521509186627461120,Ob348,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,33.815428,70.667356,
55c79e721cbee48856a30aaf,554,Pakistan,2014-10-11T00:00:00.000Z,2 people killed in a car.,Marga/Shawal,North Waziristan,2,2,4,,,,521510165472747520,Ob349,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.804136,69.681201,
55c79e721cbee48856a30ab0,555,Yemen,2014-10-15T00:00:00.000Z,Four people were killed when U.S. drone missiles struck a Toyota Hilux.,Bani Assaf/Mayfaa district,Shabwah Province,4,4,4,,,,522404980393656320,YEM171,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.265494,47.588714,
55c79e721cbee48856a30ab1,556,Yemen,2014-10-24T00:00:00.000Z,Three people killed. 'The drone was still circling the area.',Radaa,Al Bayda Province,3,3,10,,,,526018610209513472,YEM172,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.412101,44.864604,
55c79e721cbee48856a30ab2,557,Pakistan,2014-10-30T00:00:00.000Z,"A U.S. drone fired missiles at a house, killing 5 people.",Nargas Village/Azam Warsak,South Waziristan,5,4,7,,,,527818167847243776,Ob350,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.312553,69.405773,
55c79e721cbee48856a30ab3,558,Yemen,2014-11-04T00:00:00.000Z,At least 10 people were killed when U.S. drones struck the town of Radda.,Radaa,Al Bayda Province,10,10,10,,,,529672743227121664,YEM174-1,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.427058,44.837306,
55c79e721cbee48856a30ab4,559,Yemen,2014-11-05T00:00:00.000Z,"Overnight, five people were killed, their bodies 'obliterated beyond recognition.'",Radaa,Al Bayda Province,5,5,5,,,,530037705984319488,YEM174-2,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.433748,44.857733,
55c79e721cbee48856a30ab5,560,Yemen,2014-11-06T00:00:00.000Z,Two men were riding a motorcycle. A drone fired missiles at them. Their bodies are 'charred.',Radaa,Al Bayda Province,2,2,2,,,,530407773696045056,YEM174-3,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.418977,44.855855,
55c79e721cbee48856a30ab6,561,Pakistan,2014-11-11T00:00:00.000Z,"A U.S. drone fired missiles at a house, killing 4-7 people.",Datta Khel,North Waziristan,4-7,4,7,,2-3,0-2,532209572077772800,Ob351,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.903424,69.771795,
55c79e721cbee48856a30ab7,562,Yemen,2014-11-12T00:00:00.000Z,Seven people were killed while gathered under a group of trees.,Azzam,Shabwah Province,7,6,8,,,,532556352854302720,YEM175,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.319685,47.442831,
55c79e721cbee48856a30ab8,563,Pakistan,2014-11-20T00:00:00.000Z,Six people were killed when a U.S. drone fired missiles at a house.,Madakhel/Datta Khel,North Waziristan,6,5,8,,2-3,,535852187168309248,Ob352,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.895606,69.72912,
55c79e721cbee48856a30ab9,564,Pakistan,2014-11-26T00:00:00.000Z,"Eight people killed, two injured. ""There may be more dead bodies under the rubble.""",Garga/Shawal,North Waziristan,8,4,9,,2-3,,537617815386456065,Ob353,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.713078,69.586956,
